index|name|sex|age|price|level|port|surviving
393|Gustafsson, Mr. Johan Birger|male|28.0|7.925|3|S|0
394|Newell, Miss. Marjorie|female|23.0|113.275|1|C|1
395|Sandstrom, Mrs. Hjalmar (Agnes Charlotta Bengtsson)|female|24.0|16.7|3|S|1
396|Johansson, Mr. Erik|male|22.0|7.7958|3|S|0
397|Olsson, Miss. Elina|female|31.0|7.8542|3|S|0
398|McKane, Mr. Peter David|male|46.0|26.0|2|S|0
399|Pain, Dr. Alfred|male|23.0|10.5|2|S|0
400|Trout, Mrs. William H (Jessie L)|female|28.0|12.65|2|S|1
401|Niskanen, Mr. Juha|male|39.0|7.925|3|S|1
402|Adams, Mr. John|male|26.0|8.05|3|S|0
403|Jussila, Miss. Mari Aina|female|21.0|9.825|3|S|0
404|Hakkarainen, Mr. Pekka Pietari|male|28.0|15.85|3|S|0
405|Oreskovic, Miss. Marija|female|20.0|8.6625|3|S|0
406|Gale, Mr. Shadrach|male|34.0|21.0|2|S|0
407|Widegren, Mr. Carl/Charles Peter|male|51.0|7.75|3|S|0
408|Richards, Master. William Rowe|male|3.0|18.75|2|S|1
409|Birkeland, Mr. Hans Martin Monsen|male|21.0|7.775|3|S|0
410|Lefebre, Miss. Ida|female||25.4667|3|S|0
411|Sdycoff, Mr. Todor|male||7.8958|3|S|0
412|Hart, Mr. Henry|male||6.8583|3|Q|0
413|Minahan, Miss. Daisy E|female|33.0|90.0|1|Q|1
414|Cunningham, Mr. Alfred Fleming|male||0.0|2|S|0
415|Sundman, Mr. Johan Julian|male|44.0|7.925|3|S|1
416|Meek, Mrs. Thomas (Annie Louise Rowley)|female||8.05|3|S|0
417|Drew, Mrs. James Vivian (Lulu Thorne Christian)|female|34.0|32.5|2|S|1
418|Silven, Miss. Lyyli Karoliina|female|18.0|13.0|2|S|1
419|Matthews, Mr. William John|male|30.0|13.0|2|S|0
420|Van Impe, Miss. Catharina|female|10.0|24.15|3|S|0
421|Gheorgheff, Mr. Stanio|male||7.8958|3|C|0
422|Charters, Mr. David|male|21.0|7.7333|3|Q|0
423|Zimmerman, Mr. Leo|male|29.0|7.875|3|S|0
424|Danbom, Mrs. Ernst Gilbert (Anna Sigrid Maria Brogren)|female|28.0|14.4|3|S|0
425|Rosblom, Mr. Viktor Richard|male|18.0|20.2125|3|S|0
426|Wiseman, Mr. Phillippe|male||7.25|3|S|0
427|Clarke, Mrs. Charles V (Ada Maria Winfield)|female|28.0|26.0|2|S|1
428|"Phillips, Miss. Kate Florence (""Mrs Kate Louise Phillips Marshall"")"|female|19.0|26.0|2|S|1
429|Flynn, Mr. James|male||7.75|3|Q|0
430|Pickard, Mr. Berk (Berk Trembisky)|male|32.0|8.05|3|S|1
431|Bjornstrom-Steffansson, Mr. Mauritz Hakan|male|28.0|26.55|1|S|1
432|Thorneycroft, Mrs. Percival (Florence Kate White)|female||16.1|3|S|1
433|Louch, Mrs. Charles Alexander (Alice Adelaide Slow)|female|42.0|26.0|2|S|1
434|Kallio, Mr. Nikolai Erland|male|17.0|7.125|3|S|0
435|Silvey, Mr. William Baird|male|50.0|55.9|1|S|0
436|Carter, Miss. Lucile Polk|female|14.0|120.0|1|S|1
437|"Ford, Miss. Doolina Margaret ""Daisy"""|female|21.0|34.375|3|S|0
438|Richards, Mrs. Sidney (Emily Hocking)|female|24.0|18.75|2|S|1
439|Fortune, Mr. Mark|male|64.0|263.0|1|S|0
440|Kvillner, Mr. Johan Henrik Johannesson|male|31.0|10.5|2|S|0
441|Hart, Mrs. Benjamin (Esther Ada Bloomfield)|female|45.0|26.25|2|S|1
442|Hampe, Mr. Leon|male|20.0|9.5|3|S|0
443|Petterson, Mr. Johan Emil|male|25.0|7.775|3|S|0
444|Reynaldo, Ms. Encarnacion|female|28.0|13.0|2|S|1
445|Johannesen-Bratthammer, Mr. Bernt|male||8.1125|3|S|1
446|Dodge, Master. Washington|male|4.0|81.8583|1|S|1
447|Mellinger, Miss. Madeleine Violet|female|13.0|19.5|2|S|1
448|Seward, Mr. Frederic Kimber|male|34.0|26.55|1|S|1
449|Baclini, Miss. Marie Catherine|female|5.0|19.2583|3|C|1
450|Peuchen, Major. Arthur Godfrey|male|52.0|30.5|1|S|1
451|West, Mr. Edwy Arthur|male|36.0|27.75|2|S|0
452|Hagland, Mr. Ingvald Olai Olsen|male||19.9667|3|S|0
453|Foreman, Mr. Benjamin Laventall|male|30.0|27.75|1|C|0
454|Goldenberg, Mr. Samuel L|male|49.0|89.1042|1|C|1
455|Peduzzi, Mr. Joseph|male||8.05|3|S|0
456|Jalsevac, Mr. Ivan|male|29.0|7.8958|3|C|1
457|Millet, Mr. Francis Davis|male|65.0|26.55|1|S|0
458|Kenyon, Mrs. Frederick R (Marion)|female||51.8625|1|S|1
459|Toomey, Miss. Ellen|female|50.0|10.5|2|S|1
460|O'Connor, Mr. Maurice|male||7.75|3|Q|0
461|Anderson, Mr. Harry|male|48.0|26.55|1|S|1
462|Morley, Mr. William|male|34.0|8.05|3|S|0
463|Gee, Mr. Arthur H|male|47.0|38.5|1|S|0
464|Milling, Mr. Jacob Christian|male|48.0|13.0|2|S|0
465|Maisner, Mr. Simon|male||8.05|3|S|0
466|Goncalves, Mr. Manuel Estanslas|male|38.0|7.05|3|S|0
467|Campbell, Mr. William|male||0.0|2|S|0
468|Smart, Mr. John Montgomery|male|56.0|26.55|1|S|0
469|Scanlan, Mr. James|male||7.725|3|Q|0
470|Baclini, Miss. Helene Barbara|female|0.75|19.2583|3|C|1
471|Keefe, Mr. Arthur|male||7.25|3|S|0
472|Cacic, Mr. Luka|male|38.0|8.6625|3|S|0
473|West, Mrs. Edwy Arthur (Ada Mary Worth)|female|33.0|27.75|2|S|1
474|Jerwan, Mrs. Amin S (Marie Marthe Thuillard)|female|23.0|13.7917|2|C|1
475|Strandberg, Miss. Ida Sofia|female|22.0|9.8375|3|S|0
476|Clifford, Mr. George Quincy|male||52.0|1|S|0
477|Renouf, Mr. Peter Henry|male|34.0|21.0|2|S|0
478|Braund, Mr. Lewis Richard|male|29.0|7.0458|3|S|0
479|Karlsson, Mr. Nils August|male|22.0|7.5208|3|S|0
480|Hirvonen, Miss. Hildur E|female|2.0|12.2875|3|S|1
481|Goodwin, Master. Harold Victor|male|9.0|46.9|3|S|0
482|"Frost, Mr. Anthony Wood ""Archie"""|male||0.0|2|S|0
483|Rouse, Mr. Richard Henry|male|50.0|8.05|3|S|0
484|Turkula, Mrs. (Hedwig)|female|63.0|9.5875|3|S|1
485|Bishop, Mr. Dickinson H|male|25.0|91.0792|1|C|1
486|Lefebre, Miss. Jeannie|female||25.4667|3|S|0
487|Hoyt, Mrs. Frederick Maxfield (Jane Anne Forby)|female|35.0|90.0|1|S|1
488|Kent, Mr. Edward Austin|male|58.0|29.7|1|C|0
489|Somerton, Mr. Francis William|male|30.0|8.05|3|S|0
490|"Coutts, Master. Eden Leslie ""Neville"""|male|9.0|15.9|3|S|1
491|Hagland, Mr. Konrad Mathias Reiersen|male||19.9667|3|S|0
492|Windelov, Mr. Einar|male|21.0|7.25|3|S|0
493|Molson, Mr. Harry Markland|male|55.0|30.5|1|S|0
494|Artagaveytia, Mr. Ramon|male|71.0|49.5042|1|C|0
495|Stanley, Mr. Edward Roland|male|21.0|8.05|3|S|0
496|Yousseff, Mr. Gerious|male||14.4583|3|C|0
497|Eustis, Miss. Elizabeth Mussey|female|54.0|78.2667|1|C|1
498|Shellard, Mr. Frederick William|male||15.1|3|S|0
499|Allison, Mrs. Hudson J C (Bessie Waldo Daniels)|female|25.0|151.55|1|S|0
500|Svensson, Mr. Olof|male|24.0|7.7958|3|S|0
501|Calic, Mr. Petar|male|17.0|8.6625|3|S|0
502|Canavan, Miss. Mary|female|21.0|7.75|3|Q|0
503|O'Sullivan, Miss. Bridget Mary|female||7.6292|3|Q|0
504|Laitinen, Miss. Kristina Sofia|female|37.0|9.5875|3|S|0
505|Maioni, Miss. Roberta|female|16.0|86.5|1|S|1
506|Penasco y Castellana, Mr. Victor de Satode|male|18.0|108.9|1|C|0
507|Quick, Mrs. Frederick Charles (Jane Richards)|female|33.0|26.0|2|S|1
508|"Bradley, Mr. George (""George Arthur Brayton"")"|male||26.55|1|S|1
509|Olsen, Mr. Henry Margido|male|28.0|22.525|3|S|0
510|Lang, Mr. Fang|male|26.0|56.4958|3|S|1
511|Daly, Mr. Eugene Patrick|male|29.0|7.75|3|Q|1
512|Webber, Mr. James|male||8.05|3|S|0
513|McGough, Mr. James Robert|male|36.0|26.2875|1|S|1
514|Rothschild, Mrs. Martin (Elizabeth L. Barrett)|female|54.0|59.4|1|C|1
515|Coleff, Mr. Satio|male|24.0|7.4958|3|S|0
516|Walker, Mr. William Anderson|male|47.0|34.0208|1|S|0
517|Lemore, Mrs. (Amelia Milley)|female|34.0|10.5|2|S|1
518|Ryan, Mr. Patrick|male||24.15|3|Q|0
519|"Angle, Mrs. William A (Florence ""Mary"" Agnes Hughes)"|female|36.0|26.0|2|S|1
520|Pavlovic, Mr. Stefo|male|32.0|7.8958|3|S|0
521|Perreault, Miss. Anne|female|30.0|93.5|1|S|1
522|Vovk, Mr. Janko|male|22.0|7.8958|3|S|0
523|Lahoud, Mr. Sarkis|male||7.225|3|C|0
524|Hippach, Mrs. Louis Albert (Ida Sophia Fischer)|female|44.0|57.9792|1|C|1
525|Kassem, Mr. Fared|male||7.2292|3|C|0
526|Farrell, Mr. James|male|40.5|7.75|3|Q|0
527|Ridsdale, Miss. Lucy|female|50.0|10.5|2|S|1
528|Farthing, Mr. John|male||221.7792|1|S|0
529|Salonen, Mr. Johan Werner|male|39.0|7.925|3|S|0
530|Hocking, Mr. Richard George|male|23.0|11.5|2|S|0
531|Quick, Miss. Phyllis May|female|2.0|26.0|2|S|1
532|Toufik, Mr. Nakli|male||7.2292|3|C|0
533|Elias, Mr. Joseph Jr|male|17.0|7.2292|3|C|0
534|Peter, Mrs. Catherine (Catherine Rizk)|female||22.3583|3|C|1
535|Cacic, Miss. Marija|female|30.0|8.6625|3|S|0
536|Hart, Miss. Eva Miriam|female|7.0|26.25|2|S|1
537|Butt, Major. Archibald Willingham|male|45.0|26.55|1|S|0
538|LeRoy, Miss. Bertha|female|30.0|106.425|1|C|1
539|Risien, Mr. Samuel Beard|male||14.5|3|S|0
540|Frolicher, Miss. Hedwig Margaritha|female|22.0|49.5|1|C|1
541|Crosby, Miss. Harriet R|female|36.0|71.0|1|S|1
542|Andersson, Miss. Ingeborg Constanzia|female|9.0|31.275|3|S|0
543|Andersson, Miss. Sigrid Elisabeth|female|11.0|31.275|3|S|0
544|Beane, Mr. Edward|male|32.0|26.0|2|S|1
545|Douglas, Mr. Walter Donald|male|50.0|106.425|1|C|0
546|Nicholson, Mr. Arthur Ernest|male|64.0|26.0|1|S|0
547|Beane, Mrs. Edward (Ethel Clarke)|female|19.0|26.0|2|S|1
548|Padro y Manent, Mr. Julian|male||13.8625|2|C|1
549|Goldsmith, Mr. Frank John|male|33.0|20.525|3|S|0
550|Davies, Master. John Morgan Jr|male|8.0|36.75|2|S|1
551|Thayer, Mr. John Borland Jr|male|17.0|110.8833|1|C|1
552|Sharp, Mr. Percival James R|male|27.0|26.0|2|S|0
553|O'Brien, Mr. Timothy|male||7.8292|3|Q|0
554|"Leeni, Mr. Fahim (""Philip Zenni"")"|male|22.0|7.225|3|C|1
555|Ohman, Miss. Velin|female|22.0|7.775|3|S|1
556|Wright, Mr. George|male|62.0|26.55|1|S|0
557|"Duff Gordon, Lady. (Lucille Christiana Sutherland) (""Mrs Morgan"")"|female|48.0|39.6|1|C|1
558|Robbins, Mr. Victor|male||227.525|1|C|0
559|Taussig, Mrs. Emil (Tillie Mandelbaum)|female|39.0|79.65|1|S|1
560|de Messemaeker, Mrs. Guillaume Joseph (Emma)|female|36.0|17.4|3|S|1
561|Morrow, Mr. Thomas Rowan|male||7.75|3|Q|0
562|Sivic, Mr. Husein|male|40.0|7.8958|3|S|0
563|Norman, Mr. Robert Douglas|male|28.0|13.5|2|S|0
564|Simmons, Mr. John|male||8.05|3|S|0
565|Meanwell, Miss. (Marion Ogden)|female||8.05|3|S|0
566|Davies, Mr. Alfred J|male|24.0|24.15|3|S|0
567|Stoytcheff, Mr. Ilia|male|19.0|7.8958|3|S|0
568|Palsson, Mrs. Nils (Alma Cornelia Berglund)|female|29.0|21.075|3|S|0
569|Doharr, Mr. Tannous|male||7.2292|3|C|0
570|Jonsson, Mr. Carl|male|32.0|7.8542|3|S|1
571|Harris, Mr. George|male|62.0|10.5|2|S|1
572|Appleton, Mrs. Edward Dale (Charlotte Lamson)|female|53.0|51.4792|1|S|1
573|"Flynn, Mr. John Irwin (""Irving"")"|male|36.0|26.3875|1|S|1
574|Kelly, Miss. Mary|female||7.75|3|Q|1
575|Rush, Mr. Alfred George John|male|16.0|8.05|3|S|0
576|Patchett, Mr. George|male|19.0|14.5|3|S|0
577|Garside, Miss. Ethel|female|34.0|13.0|2|S|1
578|Silvey, Mrs. William Baird (Alice Munger)|female|39.0|55.9|1|S|1
579|Caram, Mrs. Joseph (Maria Elias)|female||14.4583|3|C|0
580|Jussila, Mr. Eiriik|male|32.0|7.925|3|S|1
581|Christy, Miss. Julie Rachel|female|25.0|30.0|2|S|1
582|Thayer, Mrs. John Borland (Marian Longstreth Morris)|female|39.0|110.8833|1|C|1
583|Downton, Mr. William James|male|54.0|26.0|2|S|0
584|Ross, Mr. John Hugo|male|36.0|40.125|1|C|0
585|Paulner, Mr. Uscher|male||8.7125|3|C|0
586|Taussig, Miss. Ruth|female|18.0|79.65|1|S|1
587|Jarvis, Mr. John Denzil|male|47.0|15.0|2|S|0
588|Frolicher-Stehli, Mr. Maxmillian|male|60.0|79.2|1|C|1
589|Gilinski, Mr. Eliezer|male|22.0|8.05|3|S|0
590|Murdlin, Mr. Joseph|male||8.05|3|S|0
591|Rintamaki, Mr. Matti|male|35.0|7.125|3|S|0
592|Stephenson, Mrs. Walter Bertram (Martha Eustis)|female|52.0|78.2667|1|C|1
593|Elsbury, Mr. William James|male|47.0|7.25|3|S|0
594|Bourke, Miss. Mary|female||7.75|3|Q|0
595|Chapman, Mr. John Henry|male|37.0|26.0|2|S|0
596|Van Impe, Mr. Jean Baptiste|male|36.0|24.15|3|S|0
597|Leitch, Miss. Jessie Wills|female||33.0|2|S|1
598|Johnson, Mr. Alfred|male|49.0|0.0|3|S|0
599|Boulos, Mr. Hanna|male||7.225|3|C|0
600|"Duff Gordon, Sir. Cosmo Edmund (""Mr Morgan"")"|male|49.0|56.9292|1|C|1
601|Jacobsohn, Mrs. Sidney Samuel (Amy Frances Christy)|female|24.0|27.0|2|S|1
602|Slabenoff, Mr. Petco|male||7.8958|3|S|0
603|Harrington, Mr. Charles H|male||42.4|1|S|0
604|Torber, Mr. Ernst William|male|44.0|8.05|3|S|0
605|"Homer, Mr. Harry (""Mr E Haven"")"|male|35.0|26.55|1|C|1
606|Lindell, Mr. Edvard Bengtsson|male|36.0|15.55|3|S|0
607|Karaic, Mr. Milan|male|30.0|7.8958|3|S|0
608|Daniel, Mr. Robert Williams|male|27.0|30.5|1|S|1
609|Laroche, Mrs. Joseph (Juliette Marie Louise Lafargue)|female|22.0|41.5792|2|C|1
610|Shutes, Miss. Elizabeth W|female|40.0|153.4625|1|S|1
611|Andersson, Mrs. Anders Johan (Alfrida Konstantia Brogren)|female|39.0|31.275|3|S|0
612|Jardin, Mr. Jose Neto|male||7.05|3|S|0
613|Murphy, Miss. Margaret Jane|female||15.5|3|Q|1
614|Horgan, Mr. John|male||7.75|3|Q|0
615|Brocklebank, Mr. William Alfred|male|35.0|8.05|3|S|0
616|Herman, Miss. Alice|female|24.0|65.0|2|S|1
617|Danbom, Mr. Ernst Gilbert|male|34.0|14.4|3|S|0
618|Lobb, Mrs. William Arthur (Cordelia K Stanlick)|female|26.0|16.1|3|S|0
619|Becker, Miss. Marion Louise|female|4.0|39.0|2|S|1
620|Gavey, Mr. Lawrence|male|26.0|10.5|2|S|0
621|Yasbeck, Mr. Antoni|male|27.0|14.4542|3|C|0
622|Kimball, Mr. Edwin Nelson Jr|male|42.0|52.5542|1|S|1
623|Nakid, Mr. Sahid|male|20.0|15.7417|3|C|1
624|Hansen, Mr. Henry Damsgaard|male|21.0|7.8542|3|S|0
625|"Bowen, Mr. David John ""Dai"""|male|21.0|16.1|3|S|0
626|Sutton, Mr. Frederick|male|61.0|32.3208|1|S|0
627|Kirkland, Rev. Charles Leonard|male|57.0|12.35|2|Q|0
628|Longley, Miss. Gretchen Fiske|female|21.0|77.9583|1|S|1
629|Bostandyeff, Mr. Guentcho|male|26.0|7.8958|3|S|0
630|O'Connell, Mr. Patrick D|male||7.7333|3|Q|0
631|Barkworth, Mr. Algernon Henry Wilson|male|80.0|30.0|1|S|1
632|Lundahl, Mr. Johan Svensson|male|51.0|7.0542|3|S|0
633|Stahelin-Maeglin, Dr. Max|male|32.0|30.5|1|C|1
634|Parr, Mr. William Henry Marsh|male||0.0|1|S|0
635|Skoog, Miss. Mabel|female|9.0|27.9|3|S|0
636|Davis, Miss. Mary|female|28.0|13.0|2|S|1
637|Leinonen, Mr. Antti Gustaf|male|32.0|7.925|3|S|0
638|Collyer, Mr. Harvey|male|31.0|26.25|2|S|0
639|Panula, Mrs. Juha (Maria Emilia Ojala)|female|41.0|39.6875|3|S|0
640|Thorneycroft, Mr. Percival|male||16.1|3|S|0
641|Jensen, Mr. Hans Peder|male|20.0|7.8542|3|S|0
642|Sagesser, Mlle. Emma|female|24.0|69.3|1|C|1
643|Skoog, Miss. Margit Elizabeth|female|2.0|27.9|3|S|0
644|Foo, Mr. Choong|male||56.4958|3|S|1
645|Baclini, Miss. Eugenie|female|0.75|19.2583|3|C|1
646|Harper, Mr. Henry Sleeper|male|48.0|76.7292|1|C|1
647|Cor, Mr. Liudevit|male|19.0|7.8958|3|S|0
648|Simonius-Blumer, Col. Oberst Alfons|male|56.0|35.5|1|C|1
649|Willey, Mr. Edward|male||7.55|3|S|0
650|Stanley, Miss. Amy Zillah Elsie|female|23.0|7.55|3|S|1
651|Mitkoff, Mr. Mito|male||7.8958|3|S|0
652|Doling, Miss. Elsie|female|18.0|23.0|2|S|1
653|Kalvik, Mr. Johannes Halvorsen|male|21.0|8.4333|3|S|0
654|"O'Leary, Miss. Hanora ""Norah"""|female||7.8292|3|Q|1
655|"Hegarty, Miss. Hanora ""Nora"""|female|18.0|6.75|3|Q|0
656|Hickman, Mr. Leonard Mark|male|24.0|73.5|2|S|0
657|Radeff, Mr. Alexander|male||7.8958|3|S|0
658|Bourke, Mrs. John (Catherine)|female|32.0|15.5|3|Q|0
659|Eitemiller, Mr. George Floyd|male|23.0|13.0|2|S|0
660|Newell, Mr. Arthur Webster|male|58.0|113.275|1|C|0
661|Frauenthal, Dr. Henry William|male|50.0|133.65|1|S|1
662|Badt, Mr. Mohamed|male|40.0|7.225|3|C|0
663|Colley, Mr. Edward Pomeroy|male|47.0|25.5875|1|S|0
664|Coleff, Mr. Peju|male|36.0|7.4958|3|S|0
665|Lindqvist, Mr. Eino William|male|20.0|7.925|3|S|1
666|Hickman, Mr. Lewis|male|32.0|73.5|2|S|0
667|Butler, Mr. Reginald Fenton|male|25.0|13.0|2|S|0
668|Rommetvedt, Mr. Knud Paust|male||7.775|3|S|0
669|Cook, Mr. Jacob|male|43.0|8.05|3|S|0
670|Taylor, Mrs. Elmer Zebley (Juliet Cummins Wright)|female||52.0|1|S|1
671|Brown, Mrs. Thomas William Solomon (Elizabeth Catherine Ford)|female|40.0|39.0|2|S|1
672|Davidson, Mr. Thornton|male|31.0|52.0|1|S|0
673|Mitchell, Mr. Henry Michael|male|70.0|10.5|2|S|0
674|Wilhelms, Mr. Charles|male|31.0|13.0|2|S|1
675|Watson, Mr. Ennis Hastings|male||0.0|2|S|0
676|Edvardsson, Mr. Gustaf Hjalmar|male|18.0|7.775|3|S|0
677|Sawyer, Mr. Frederick Charles|male|24.5|8.05|3|S|0
678|Turja, Miss. Anna Sofia|female|18.0|9.8417|3|S|1
679|Goodwin, Mrs. Frederick (Augusta Tyler)|female|43.0|46.9|3|S|0
680|Cardeza, Mr. Thomas Drake Martinez|male|36.0|512.3292|1|C|1
681|Peters, Miss. Katie|female||8.1375|3|Q|0
682|Hassab, Mr. Hammad|male|27.0|76.7292|1|C|1
683|Olsvigen, Mr. Thor Anderson|male|20.0|9.225|3|S|0
684|Goodwin, Mr. Charles Edward|male|14.0|46.9|3|S|0
685|Brown, Mr. Thomas William Solomon|male|60.0|39.0|2|S|0
686|Laroche, Mr. Joseph Philippe Lemercier|male|25.0|41.5792|2|C|0
687|Panula, Mr. Jaako Arnold|male|14.0|39.6875|3|S|0
688|Dakic, Mr. Branko|male|19.0|10.1708|3|S|0
689|Fischer, Mr. Eberhard Thelander|male|18.0|7.7958|3|S|0
690|Madill, Miss. Georgette Alexandra|female|15.0|211.3375|1|S|1
691|Dick, Mr. Albert Adrian|male|31.0|57.0|1|S|1
692|Karun, Miss. Manca|female|4.0|13.4167|3|C|1
693|Lam, Mr. Ali|male||56.4958|3|S|1
694|Saad, Mr. Khalil|male|25.0|7.225|3|C|0
695|Weir, Col. John|male|60.0|26.55|1|S|0
696|Chapman, Mr. Charles Henry|male|52.0|13.5|2|S|0
697|Kelly, Mr. James|male|44.0|8.05|3|S|0
698|"Mullens, Miss. Katherine ""Katie"""|female||7.7333|3|Q|1
699|Thayer, Mr. John Borland|male|49.0|110.8833|1|C|0
700|Humblen, Mr. Adolf Mathias Nicolai Olsen|male|42.0|7.65|3|S|0
701|Astor, Mrs. John Jacob (Madeleine Talmadge Force)|female|18.0|227.525|1|C|1
702|Silverthorne, Mr. Spencer Victor|male|35.0|26.2875|1|S|1
703|Barbara, Miss. Saiide|female|18.0|14.4542|3|C|0
704|Gallagher, Mr. Martin|male|25.0|7.7417|3|Q|0
705|Hansen, Mr. Henrik Juul|male|26.0|7.8542|3|S|0
706|"Morley, Mr. Henry Samuel (""Mr Henry Marshall"")"|male|39.0|26.0|2|S|0
707|"Kelly, Mrs. Florence ""Fannie"""|female|45.0|13.5|2|S|1
708|Calderhead, Mr. Edward Pennington|male|42.0|26.2875|1|S|1
709|Cleaver, Miss. Alice|female|22.0|151.55|1|S|1
710|"Moubarek, Master. Halim Gonios (""William George"")"|male||15.2458|3|C|1
711|"Mayne, Mlle. Berthe Antonine (""Mrs de Villiers"")"|female|24.0|49.5042|1|C|1
712|Klaber, Mr. Herman|male||26.55|1|S|0
713|Taylor, Mr. Elmer Zebley|male|48.0|52.0|1|S|1
714|Larsson, Mr. August Viktor|male|29.0|9.4833|3|S|0
715|Greenberg, Mr. Samuel|male|52.0|13.0|2|S|0
716|Soholt, Mr. Peter Andreas Lauritz Andersen|male|19.0|7.65|3|S|0
717|Endres, Miss. Caroline Louise|female|38.0|227.525|1|C|1
718|"Troutt, Miss. Edwina Celia ""Winnie"""|female|27.0|10.5|2|S|1
719|McEvoy, Mr. Michael|male||15.5|3|Q|0
720|Johnson, Mr. Malkolm Joackim|male|33.0|7.775|3|S|0
721|"Harper, Miss. Annie Jessie ""Nina"""|female|6.0|33.0|2|S|1
722|Jensen, Mr. Svend Lauritz|male|17.0|7.0542|3|S|0
723|Gillespie, Mr. William Henry|male|34.0|13.0|2|S|0
724|Hodges, Mr. Henry Price|male|50.0|13.0|2|S|0
725|Chambers, Mr. Norman Campbell|male|27.0|53.1|1|S|1
726|Oreskovic, Mr. Luka|male|20.0|8.6625|3|S|0
727|Renouf, Mrs. Peter Henry (Lillian Jefferys)|female|30.0|21.0|2|S|1
728|Mannion, Miss. Margareth|female||7.7375|3|Q|1
729|Bryhl, Mr. Kurt Arnold Gottfrid|male|25.0|26.0|2|S|0
730|Ilmakangas, Miss. Pieta Sofia|female|25.0|7.925|3|S|0
731|Allen, Miss. Elisabeth Walton|female|29.0|211.3375|1|S|1
732|Hassan, Mr. Houssein G N|male|11.0|18.7875|3|C|0
733|Knight, Mr. Robert J|male||0.0|2|S|0
734|Berriman, Mr. William John|male|23.0|13.0|2|S|0
735|Troupiansky, Mr. Moses Aaron|male|23.0|13.0|2|S|0
736|Williams, Mr. Leslie|male|28.5|16.1|3|S|0
737|Ford, Mrs. Edward (Margaret Ann Watson)|female|48.0|34.375|3|S|0
738|Lesurer, Mr. Gustave J|male|35.0|512.3292|1|C|1
739|Ivanoff, Mr. Kanio|male||7.8958|3|S|0
740|Nankoff, Mr. Minko|male||7.8958|3|S|0
741|Hawksford, Mr. Walter James|male||30.0|1|S|1
742|Cavendish, Mr. Tyrell William|male|36.0|78.85|1|S|0
743|"Ryerson, Miss. Susan Parker ""Suzette"""|female|21.0|262.375|1|C|1
744|McNamee, Mr. Neal|male|24.0|16.1|3|S|0
745|Stranden, Mr. Juho|male|31.0|7.925|3|S|1
746|Crosby, Capt. Edward Gifford|male|70.0|71.0|1|S|0
747|Abbott, Mr. Rossmore Edward|male|16.0|20.25|3|S|0
748|Sinkkonen, Miss. Anna|female|30.0|13.0|2|S|1
749|Marvin, Mr. Daniel Warner|male|19.0|53.1|1|S|0
750|Connaghton, Mr. Michael|male|31.0|7.75|3|Q|0
751|Wells, Miss. Joan|female|4.0|23.0|2|S|1
752|Moor, Master. Meier|male|6.0|12.475|3|S|1
753|Vande Velde, Mr. Johannes Joseph|male|33.0|9.5|3|S|0
754|Jonkoff, Mr. Lalio|male|23.0|7.8958|3|S|0
755|Herman, Mrs. Samuel (Jane Laver)|female|48.0|65.0|2|S|1
756|Hamalainen, Master. Viljo|male|0.67|14.5|2|S|1
757|Carlsson, Mr. August Sigfrid|male|28.0|7.7958|3|S|0
758|Bailey, Mr. Percy Andrew|male|18.0|11.5|2|S|0
759|Theobald, Mr. Thomas Leonard|male|34.0|8.05|3|S|0
760|Rothes, the Countess. of (Lucy Noel Martha Dyer-Edwards)|female|33.0|86.5|1|S|1
761|Garfirth, Mr. John|male||14.5|3|S|0
762|Nirva, Mr. Iisakki Antino Aijo|male|41.0|7.125|3|S|0
763|Barah, Mr. Hanna Assi|male|20.0|7.2292|3|C|1
764|Carter, Mrs. William Ernest (Lucile Polk)|female|36.0|120.0|1|S|1
765|Eklund, Mr. Hans Linus|male|16.0|7.775|3|S|0
766|Hogeboom, Mrs. John C (Anna Andrews)|female|51.0|77.9583|1|S|1
767|Brewe, Dr. Arthur Jackson|male||39.6|1|C|0
768|Mangan, Miss. Mary|female|30.5|7.75|3|Q|0
769|Moran, Mr. Daniel J|male||24.15|3|Q|0
770|Gronnestad, Mr. Daniel Danielsen|male|32.0|8.3625|3|S|0
771|Lievens, Mr. Rene Aime|male|24.0|9.5|3|S|0
772|Jensen, Mr. Niels Peder|male|48.0|7.8542|3|S|0
773|Mack, Mrs. (Mary)|female|57.0|10.5|2|S|0
774|Elias, Mr. Dibo|male||7.225|3|C|0
775|Hocking, Mrs. Elizabeth (Eliza Needs)|female|54.0|23.0|2|S|1
776|Myhrman, Mr. Pehr Fabian Oliver Malkolm|male|18.0|7.75|3|S|0
777|Tobin, Mr. Roger|male||7.75|3|Q|0
778|Emanuel, Miss. Virginia Ethel|female|5.0|12.475|3|S|1
779|Kilgannon, Mr. Thomas J|male||7.7375|3|Q|0
780|Robert, Mrs. Edward Scott (Elisabeth Walton McMillan)|female|43.0|211.3375|1|S|1
781|Ayoub, Miss. Banoura|female|13.0|7.2292|3|C|1
782|Dick, Mrs. Albert Adrian (Vera Gillespie)|female|17.0|57.0|1|S|1
783|Long, Mr. Milton Clyde|male|29.0|30.0|1|S|0
784|Johnston, Mr. Andrew G|male||23.45|3|S|0
785|Ali, Mr. William|male|25.0|7.05|3|S|0
786|Harmer, Mr. Abraham (David Lishin)|male|25.0|7.25|3|S|0
